RG_SCORE,MODEL
17.419,rg_scorer_g_2_S_0038_0001_0001.pdb
17.325,rg_scorer_g_2_S_0039_0001_0001.pdb
17.396,rg_scorer_g_2_S_0040_0001_0001.pdb
17.369,rg_scorer_g_2_S_0041_0001_0001.pdb
17.407,rg_scorer_g_2_S_0042_0001_0001.pdb
17.375999999999998,rg_scorer_g_2_S_0043_0001_0001.pdb
17.362000000000002,rg_scorer_g_2_S_0044_0001_0001.pdb
17.363,rg_scorer_g_2_S_0045_0001_0001.pdb
17.491,rg_scorer_g_2_S_0046_0001_0001.pdb
17.375999999999998,rg_scorer_g_2_S_0047_0001_0001.pdb
17.349,rg_scorer_g_2_S_0048_0001_0001.pdb
17.378,rg_scorer_g_2_S_0049_0001_0001.pdb
17.354,rg_scorer_g_2_S_0050_0001_0001.pdb
17.343,rg_scorer_g_2_S_0051_0001_0001.pdb
17.375999999999998,rg_scorer_g_2_S_0052_0001_0001.pdb
17.379,rg_scorer_g_2_S_0053_0001_0001.pdb
17.399,rg_scorer_g_2_S_0054_0001_0001.pdb
17.408,rg_scorer_g_2_S_0055_0001_0001.pdb
17.324,rg_scorer_g_2_S_0056_0001_0001.pdb
17.334,rg_scorer_g_2_S_0057_0001_0001.pdb
17.462,rg_scorer_g_2_S_0058_0001_0001.pdb
17.296,rg_scorer_g_2_S_0059_0001_0001.pdb
17.393,rg_scorer_g_2_S_0060_0001_0001.pdb
17.395,rg_scorer_g_2_S_0061_0001_0001.pdb
17.266,rg_scorer_g_2_S_0062_0001_0001.pdb
17.475,rg_scorer_g_2_S_0063_0001_0001.pdb
17.344,rg_scorer_g_2_S_0064_0001_0001.pdb
17.285999999999998,rg_scorer_g_2_S_0065_0001_0001.pdb
17.421,rg_scorer_g_2_S_0066_0001_0001.pdb
17.524,rg_scorer_g_2_S_0067_0001_0001.pdb
17.395,rg_scorer_g_2_S_0068_0001_0001.pdb
17.415,rg_scorer_g_2_S_0069_0001_0001.pdb
17.387,rg_scorer_g_2_S_0070_0001_0001.pdb
17.363,rg_scorer_g_2_S_0071_0001_0001.pdb
17.421,rg_scorer_g_2_S_0072_0001_0001.pdb
17.347,rg_scorer_g_2_S_0073_0001_0001.pdb
17.340999999999998,rg_scorer_g_2_S_0074_0001_0001.pdb
17.364,rg_scorer_g_2_S_0075_0001_0001.pdb
17.358,rg_scorer_g_2_S_0076_0001_0001.pdb
17.26,rg_scorer_g_2_S_0077_0001_0001.pdb
17.369,rg_scorer_g_2_S_0078_0001_0001.pdb
17.383,rg_scorer_g_2_S_0079_0001_0001.pdb
17.33,rg_scorer_g_2_S_0080_0001_0001.pdb
17.471,rg_scorer_g_2_S_0081_0001_0001.pdb
17.383,rg_scorer_g_2_S_0082_0001_0001.pdb
17.410999999999998,rg_scorer_g_2_S_0083_0001_0001.pdb
17.336,rg_scorer_g_2_S_0084_0001_0001.pdb
17.328,rg_scorer_g_2_S_0085_0001_0001.pdb
17.364,rg_scorer_g_2_S_0086_0001_0001.pdb
17.293,rg_scorer_g_2_S_0087_0001_0001.pdb
17.441,rg_scorer_g_2_S_0088_0001_0001.pdb
17.339000000000002,rg_scorer_g_2_S_0089_0001_0001.pdb
17.364,rg_scorer_g_2_S_0090_0001_0001.pdb
17.455,rg_scorer_g_2_S_0091_0001_0001.pdb
17.372,rg_scorer_g_2_S_0092_0001_0001.pdb
17.383,rg_scorer_g_2_S_0093_0001_0001.pdb
17.283,rg_scorer_g_2_S_0094_0001_0001.pdb
17.421,rg_scorer_g_2_S_0095_0001_0001.pdb
17.385,rg_scorer_g_2_S_0096_0001_0001.pdb
17.37,rg_scorer_g_2_S_0097_0001_0001.pdb
17.405,rg_scorer_g_2_S_0098_0001_0001.pdb
17.348,rg_scorer_g_2_S_0099_0001_0001.pdb
17.453,rg_scorer_g_2_S_0100_0001_0001.pdb
17.355999999999998,rg_scorer_g_3_S_0001_0001_0001.pdb
17.357,rg_scorer_g_3_S_0002_0001_0001.pdb
17.42,rg_scorer_g_3_S_0003_0001_0001.pdb
17.413,rg_scorer_g_3_S_0004_0001_0001.pdb
17.354,rg_scorer_g_3_S_0005_0001_0001.pdb
17.364,rg_scorer_g_3_S_0006_0001_0001.pdb
17.305999999999997,rg_scorer_g_3_S_0007_0001_0001.pdb
17.357,rg_scorer_g_3_S_0008_0001_0001.pdb
17.314,rg_scorer_g_3_S_0009_0001_0001.pdb
17.292,rg_scorer_g_3_S_0010_0001_0001.pdb
17.422,rg_scorer_g_3_S_0011_0001_0001.pdb
17.385,rg_scorer_g_3_S_0012_0001_0001.pdb
17.403,rg_scorer_g_3_S_0013_0001_0001.pdb
17.448,rg_scorer_g_3_S_0014_0001_0001.pdb
17.397000000000002,rg_scorer_g_3_S_0015_0001_0001.pdb
17.384,rg_scorer_g_3_S_0016_0001_0001.pdb
17.393,rg_scorer_g_3_S_0017_0001_0001.pdb
17.313,rg_scorer_g_3_S_0018_0001_0001.pdb
17.362000000000002,rg_scorer_g_3_S_0019_0001_0001.pdb
17.361,rg_scorer_g_3_S_0020_0001_0001.pdb
17.322,rg_scorer_g_3_S_0021_0001_0001.pdb
17.347,rg_scorer_g_3_S_0022_0001_0001.pdb
17.396,rg_scorer_g_3_S_0023_0001_0001.pdb
17.322,rg_scorer_g_3_S_0024_0001_0001.pdb
17.372,rg_scorer_g_3_S_0025_0001_0001.pdb
17.379,rg_scorer_g_3_S_0026_0001_0001.pdb
17.459,rg_scorer_g_3_S_0027_0001_0001.pdb
17.456,rg_scorer_g_3_S_0028_0001_0001.pdb
17.357,rg_scorer_g_3_S_0029_0001_0001.pdb
17.3,rg_scorer_g_3_S_0030_0001_0001.pdb
17.482,rg_scorer_g_3_S_0031_0001_0001.pdb
17.394000000000002,rg_scorer_g_3_S_0032_0001_0001.pdb
17.354,rg_scorer_g_3_S_0033_0001_0001.pdb
17.326,rg_scorer_g_3_S_0034_0001_0001.pdb
17.235,rg_scorer_g_3_S_0035_0001_0001.pdb
17.315,rg_scorer_g_3_S_0036_0001_0001.pdb
17.37,rg_scorer_g_3_S_0037_0001_0001.pdb
17.322,rg_scorer_g_3_S_0038_0001_0001.pdb
17.395,rg_scorer_g_3_S_0039_0001_0001.pdb
17.396,rg_scorer_g_3_S_0040_0001_0001.pdb
17.44,rg_scorer_g_3_S_0041_0001_0001.pdb
17.358,rg_scorer_g_3_S_0042_0001_0001.pdb
17.361,rg_scorer_g_3_S_0043_0001_0001.pdb
17.375999999999998,rg_scorer_g_3_S_0044_0001_0001.pdb
17.41,rg_scorer_g_3_S_0045_0001_0001.pdb
17.345,rg_scorer_g_3_S_0046_0001_0001.pdb
17.352,rg_scorer_g_3_S_0047_0001_0001.pdb
17.436,rg_scorer_g_3_S_0048_0001_0001.pdb
17.349,rg_scorer_g_3_S_0049_0001_0001.pdb
17.327,rg_scorer_g_3_S_0050_0001_0001.pdb
17.292,rg_scorer_g_3_S_0051_0001_0001.pdb
17.422,rg_scorer_g_3_S_0052_0001_0001.pdb
17.311,rg_scorer_g_3_S_0053_0001_0001.pdb
17.352,rg_scorer_g_3_S_0054_0001_0001.pdb
17.461,rg_scorer_g_3_S_0055_0001_0001.pdb
17.319000000000003,rg_scorer_g_3_S_0056_0001_0001.pdb
17.319000000000003,rg_scorer_g_3_S_0057_0001_0001.pdb
17.426,rg_scorer_g_3_S_0058_0001_0001.pdb
17.348,rg_scorer_g_3_S_0059_0001_0001.pdb
17.392,rg_scorer_g_3_S_0060_0001_0001.pdb
17.412,rg_scorer_g_3_S_0061_0001_0001.pdb
17.391,rg_scorer_g_3_S_0062_0001_0001.pdb
17.322,rg_scorer_g_3_S_0063_0001_0001.pdb
17.386,rg_scorer_g_3_S_0064_0001_0001.pdb
17.362000000000002,rg_scorer_g_3_S_0065_0001_0001.pdb
17.404,rg_scorer_g_3_S_0066_0001_0001.pdb
17.365,rg_scorer_g_3_S_0067_0001_0001.pdb
17.398,rg_scorer_g_3_S_0068_0001_0001.pdb
17.352,rg_scorer_g_3_S_0069_0001_0001.pdb
17.343,rg_scorer_g_3_S_0070_0001_0001.pdb
17.397000000000002,rg_scorer_g_3_S_0071_0001_0001.pdb
17.359,rg_scorer_g_3_S_0072_0001_0001.pdb
17.454,rg_scorer_g_3_S_0073_0001_0001.pdb
17.393,rg_scorer_g_3_S_0074_0001_0001.pdb
17.37,rg_scorer_g_3_S_0075_0001_0001.pdb
17.38,rg_scorer_g_3_S_0076_0001_0001.pdb
17.414,rg_scorer_g_3_S_0077_0001_0001.pdb
17.333,rg_scorer_g_3_S_0078_0001_0001.pdb
17.433,rg_scorer_g_3_S_0079_0001_0001.pdb
17.392,rg_scorer_g_3_S_0080_0001_0001.pdb
17.387,rg_scorer_g_3_S_0081_0001_0001.pdb
